outer_step,task,lam,inner_lr,inner_steps,pre/loss_train,pre/loss_related,pre/kl_related,post/loss_train,post/loss_related,post/kl_related,base/loss_train,base/loss_related
240,spanish,0.5,0.0005,5,1.3705698251724243,1.3008649349212646,0.38757288455963135,1.3667809963226318,1.1415878534317017,0.455192893743515,4.270986080169678,3.568849802017212
250,french,0.5,0.0005,5,2.062427520751953,1.319310188293457,0.43547675013542175,1.9281723499298096,1.3403046131134033,0.4675920009613037,4.33449649810791,3.5522654056549072
250,german,0.5,0.0005,5,1.8565404415130615,1.2875839471817017,0.4358021318912506,1.9732584953308105,1.3909316062927246,0.4611409604549408,5.178280353546143,3.4848952293395996
250,italian,0.5,0.0005,5,1.9098501205444336,1.2596555948257446,0.4158583879470825,1.8150556087493896,1.2980509996414185,0.48260292410850525,4.663875579833984,3.341350555419922
250,portuguese,0.5,0.0005,5,1.6764074563980103,1.3124655485153198,0.49491041898727417,1.7080090045928955,1.273725986480713,0.5145564675331116,4.54437780380249,3.715384006500244
250,spanish,0.5,0.0005,5,1.5185856819152832,1.3054043054580688,0.3895673155784607,1.4785076379776,1.1669310331344604,0.45707273483276367,4.270986080169678,3.568849802017212
260,french,0.5,0.0005,5,2.020205020904541,1.3478034734725952,0.42913803458213806,2.1319198608398438,1.1667640209197998,0.49721065163612366,4.33449649810791,3.5522654056549072
260,german,0.5,0.0005,5,2.0078253746032715,1.2054637670516968,0.4335348606109619,2.0370430946350098,1.3028405904769897,0.48983660340309143,5.178280353546143,3.4848952293395996
260,italian,0.5,0.0005,5,1.7576943635940552,1.4026678800582886,0.41217032074928284,1.7639442682266235,1.26738440990448,0.5182831883430481,4.663875579833984,3.341350555419922
260,portuguese,0.5,0.0005,5,1.8157848119735718,1.3760639429092407,0.45865872502326965,1.584269642829895,1.1903914213180542,0.550809919834137,4.54437780380249,3.715384006500244
260,spanish,0.5,0.0005,5,1.3236148357391357,1.2269841432571411,0.4865320920944214,1.550209641456604,1.272600769996643,0.5220603346824646,4.270986080169678,3.568849802017212
270,french,0.5,0.0005,5,2.2313637733459473,1.3626306056976318,0.4337117075920105,1.8451184034347534,1.4148898124694824,0.4030427038669586,4.33449649810791,3.5522654056549072
270,german,0.5,0.0005,5,2.0761125087738037,1.4146983623504639,0.48104479908943176,1.7849092483520508,1.336888313293457,0.5385783910751343,5.178280353546143,3.4848952293395996
270,italian,0.5,0.0005,5,1.9154325723648071,1.236790657043457,0.4832645654678345,1.6548516750335693,1.219925045967102,0.45029741525650024,4.663875579833984,3.341350555419922
270,portuguese,0.5,0.0005,5,1.723821997642517,1.227495789527893,0.4275285303592682,1.4371092319488525,1.4337807893753052,0.4703957438468933,4.54437780380249,3.715384006500244
